id,airline,flight_number,departure_airport,arrival_airport,departure_time,arrival_time,departure_gate,arrival_gate
30413,UA,1725,SEA,SFO,2024-06-10 05:10:00,2024-06-10 07:17:00,A41,E35
30414,OO,5460,RDD,SFO,2024-06-10 05:40:00,2024-06-10 06:45:00,A45,A33
30415,OO,6401,EUG,SFO,2024-06-10 05:42:00,2024-06-10 07:11:00,B43,A49
30416,UA,392,PDX,SFO,2024-06-10 05:40:00,2024-06-10 07:21:00,A34,A1
30417,UA,756,SFO,DEN,2024-06-10 05:48:00,2024-06-10 09:24:00,B17,B20
30418,B6,735,SFO,LGB,2024-06-10 05:52:00,2024-06-10 07:10:00,C10,E45
30419,UA,1135,IAD,SFO,2024-06-10 06:00:00,2024-06-10 08:33:00,D17,E10
30420,WN,925,SFO,MKE,2024-06-10 05:58:00,2024-06-10 11:48:00,E46,C38
30421,F9,660,SFO,DEN,2024-06-10 05:55:00,2024-06-10 09:34:00,B47,B31
30422,F9,1107,IAH,SFO,2024-06-10 06:00:00,2024-06-10 08:10:00,C27,E28
30423,OO,6403,MFR,SFO,2024-06-10 05:59:00,2024-06-10 07:18:00,D15,D38
30424,OO,6340,SMX,SFO,2024-06-10 05:50:00,2024-06-10 06:47:00,E26,E37
30425,OO,6346,MRY,SFO,2024-06-10 05:53:00,2024-06-10 06:29:00,C47,E9
30426,UA,354,SFO,IAH,2024-06-10 05:56:00,2024-06-10 11:37:00,E1,E12
30427,UA,568,SFO,EWR,2024-06-10 05:56:00,2024-06-10 14:21:00,E32,E15
30428,OO,5613,LAX,SFO,2024-06-10 06:00:00,2024-06-10 07:33:00,C5,C48
30429,OO,5632,SBA,SFO,2024-06-10 06:00:00,2024-06-10 07:03:00,C37,E40
30430,UA,361,PHX,SFO,2024-06-10 05:55:00,2024-06-10 07:46:00,C26,D18
30431,UA,1583,ORD,SFO,2024-06-10 06:05:00,2024-06-10 08:33:00,D38,C36
30432,UA,805,BWI,SFO,2024-06-10 08:15:00,2024-06-10 10:43:00,D25,C34
30433,DL,2566,SFO,MSP,2024-06-10 06:20:00,2024-06-10 11:59:00,E39,D44
30434,WN,3503,SAN,SFO,2024-06-10 06:19:00,2024-06-10 07:44:00,C18,A37
30435,B6,16,SFO,JFK,2024-06-10 06:35:00,2024-06-10 15:03:00,D21,A16
30436,AS,313,SFO,SEA,2024-06-10 06:43:00,2024-06-10 08:39:00,E27,E26
30437,UA,1960,PDX,SFO,2024-06-10 06:59:00,2024-06-10 08:40:00,C15,B9
30438,DL,854,SFO,DTW,2024-06-10 06:58:00,2024-06-10 14:24:00,D7,A9
30439,UA,1614,IAH,SFO,2024-06-10 07:19:00,2024-06-10 09:18:00,C47,A31
30440,OO,6307,MSP,SFO,2024-06-10 07:20:00,2024-06-10 09:35:00,C4,A13
30441,UA,1216,SFO,IAH,2024-06-10 07:21:00,2024-06-10 12:55:00,C34,A10
30442,OO,6336,SFO,RNO,2024-06-10 07:17:00,2024-06-10 08:17:00,A8,E16
30443,AS,743,SLC,SFO,2024-06-10 07:25:00,2024-06-10 08:28:00,C40,B31
30444,VX,1930,SFO,LAX,2024-06-10 07:57:00,2024-06-10 09:18:00,C11,B50
30445,VX,201,ORD,SFO,2024-06-10 07:57:00,2024-06-10 10:15:00,E6,D50
30446,UA,349,DEN,SFO,2024-06-10 08:08:00,2024-06-10 09:31:00,D27,B4
30447,WN,112,SAN,SFO,2024-06-10 08:05:00,2024-06-10 09:24:00,A11,E3
30448,UA,1683,IAD,SFO,2024-06-10 08:21:00,2024-06-10 10:50:00,A6,B18
30449,UA,322,SNA,SFO,2024-06-10 08:15:00,2024-06-10 09:31:00,B30,E4
30450,UA,1662,DCA,SFO,2024-06-10 08:31:00,2024-06-10 11:13:00,B37,C8
30451,UA,1964,SFO,SEA,2024-06-10 08:29:00,2024-06-10 10:25:00,E31,A36
30452,AA,164,SFO,JFK,2024-06-10 08:38:00,2024-06-10 17:20:00,B16,E2
30453,OO,6380,SBA,SFO,2024-06-10 08:36:00,2024-06-10 09:51:00,A30,B46
30454,UA,698,SEA,SFO,2024-06-10 08:44:00,2024-06-10 11:00:00,E33,E22
30455,OO,5223,SLC,SFO,2024-06-10 09:00:00,2024-06-10 10:49:00,B17,E44
30456,DL,434,JFK,SFO,2024-06-10 10:20:00,2024-06-10 13:24:00,D38,C41
30457,DL,2305,MSP,SFO,2024-06-10 08:59:00,2024-06-10 10:46:00,D25,D7
30458,WN,4648,SFO,SNA,2024-06-10 09:00:00,2024-06-10 10:22:00,E4,E2
30459,AA,2207,DFW,SFO,2024-06-10 09:19:00,2024-06-10 11:01:00,C10,B23
30460,AS,311,SFO,SEA,2024-06-10 09:04:00,2024-06-10 10:57:00,A33,C36
30461,AS,383,SFO,PDX,2024-06-10 09:14:00,2024-06-10 10:56:00,C21,C26
30462,UA,1721,SFO,KOA,2024-06-10 12:07:00,2024-06-10 14:17:00,D34,E6
30463,VX,22,SFO,JFK,2024-06-10 09:20:00,2024-06-10 17:45:00,A2,C43
30464,UA,1914,EWR,SFO,2024-06-10 09:21:00,2024-06-10 12:26:00,B26,A23
30465,AA,342,SFO,ORD,2024-06-10 09:11:00,2024-06-10 15:34:00,A17,E34
30466,UA,572,SFO,ORD,2024-06-10 09:17:00,2024-06-10 15:27:00,C41,A50
30467,HA,11,SFO,HNL,2024-06-10 09:30:00,2024-06-10 11:48:00,E8,C12
30468,OO,6349,SNA,SFO,2024-06-10 09:54:00,2024-06-10 11:06:00,D4,C21
